F11.1  EXCHANGE RATES ,
Title,A$1=USD
Description,AUD/USD Exchange Rate; see notes for further detail.
Frequency,Daily
Type,Indicative
Units,USD
,
,
Source,WM/Reuters
Publication date,15-Mar-2023
Series ID,FXRUSD
02-Jan-2018,0.7837
03-Jan-2018,0.7816
04-Jan-2018,0.7835
05-Jan-2018,0.7857
08-Jan-2018,0.7842
09-Jan-2018,0.7854
10-Jan-2018,0.7828
11-Jan-2018,0.7873
12-Jan-2018,0.7885
15-Jan-2018,0.7946
16-Jan-2018,0.7968
17-Jan-2018,0.7955
18-Jan-2018,0.7964
19-Jan-2018,0.8019
22-Jan-2018,0.7990
23-Jan-2018,0.7989
24-Jan-2018,0.8016
25-Jan-2018,0.8094
29-Jan-2018,0.8096
30-Jan-2018,0.8070
31-Jan-2018,0.8073
01-Feb-2018,0.8044
02-Feb-2018,0.7997
05-Feb-2018,0.7929
06-Feb-2018,0.7844
07-Feb-2018,0.7883
08-Feb-2018,0.7812
09-Feb-2018,0.7779
12-Feb-2018,0.7834
13-Feb-2018,0.7870
14-Feb-2018,0.7877
15-Feb-2018,0.7933
16-Feb-2018,0.7965
19-Feb-2018,0.7920
20-Feb-2018,0.7926
21-Feb-2018,0.7852
22-Feb-2018,0.7806
23-Feb-2018,0.7821
26-Feb-2018,0.7863
27-Feb-2018,0.7847
28-Feb-2018,0.7792
01-Mar-2018,0.7731
02-Mar-2018,0.7756
05-Mar-2018,0.7752
06-Mar-2018,0.7773
07-Mar-2018,0.7804
08-Mar-2018,0.7830
09-Mar-2018,0.7792
12-Mar-2018,0.7869
13-Mar-2018,0.7870
14-Mar-2018,0.7871
15-Mar-2018,0.7876
16-Mar-2018,0.7790
19-Mar-2018,0.7691
20-Mar-2018,0.7703
21-Mar-2018,0.7697
22-Mar-2018,0.7744
23-Mar-2018,0.7711
26-Mar-2018,0.7723
27-Mar-2018,0.7738
28-Mar-2018,0.7694
29-Mar-2018,0.7665
03-Apr-2018,0.7685
04-Apr-2018,0.7700
05-Apr-2018,0.7690
06-Apr-2018,0.7677
09-Apr-2018,0.7691
10-Apr-2018,0.7733
11-Apr-2018,0.7749
12-Apr-2018,0.7751
13-Apr-2018,0.7780
16-Apr-2018,0.7769
17-Apr-2018,0.7771
18-Apr-2018,0.7771
19-Apr-2018,0.7804
20-Apr-2018,0.7714
23-Apr-2018,0.7673
24-Apr-2018,0.7608
26-Apr-2018,0.7574
27-Apr-2018,0.7545
30-Apr-2018,0.7570
01-May-2018,0.7540
02-May-2018,0.7503
03-May-2018,0.7524
04-May-2018,0.7538
07-May-2018,0.7520
08-May-2018,0.7514
09-May-2018,0.7435
10-May-2018,0.7458
11-May-2018,0.7534
14-May-2018,0.7549
15-May-2018,0.7508
16-May-2018,0.7484
17-May-2018,0.7540
18-May-2018,0.7519
21-May-2018,0.7519
22-May-2018,0.7588
23-May-2018,0.7541
24-May-2018,0.7562
25-May-2018,0.7565
28-May-2018,0.7578
29-May-2018,0.7535
30-May-2018,0.7501
31-May-2018,0.7564
01-Jun-2018,0.7541
04-Jun-2018,0.7615
05-Jun-2018,0.7633
06-Jun-2018,0.7664
07-Jun-2018,0.7659
08-Jun-2018,0.7609
12-Jun-2018,0.7615
13-Jun-2018,0.7574
14-Jun-2018,0.7555
15-Jun-2018,0.7465
18-Jun-2018,0.7450
19-Jun-2018,0.7380
20-Jun-2018,0.7402
21-Jun-2018,0.7360
22-Jun-2018,0.7398
25-Jun-2018,0.7419
26-Jun-2018,0.7416
27-Jun-2018,0.7380
28-Jun-2018,0.7353
29-Jun-2018,0.7391
02-Jul-2018,0.7382
