Date,Activity_Type,Symbol,Quantity,Price_USD,USD_Amount,AUD_Amount
8/4/2021,PURCHASED,RSKD,350,26.84,-9423.95,-12773.03
8/13/2021,PURCHASED,FSLY,150,42.3,-6374.95,-8645.17
8/12/2021,PURCHASED,NVAX,15,238,-3590,-4894
8/8/2023,SOLD,FSLY,480,21,10049,15435
12/6/2021,PURCHASED,RSKD,1000,9.02,-9049,-12847
12/7/2021,PURCHASED,ESTC,100,113.7599,-11411,-16040
12/7/2021,PURCHASED,CFLT,100,69.9,-7020,-9868
12/7/2021,PURCHASED,MDB,16,446.91,-7180,-10093
12/8/2021,PURCHASED,NET,78,147.38,-11531,-16102
12/20/2021,PURCHASED,HOOD,200,19.2,-3859,-5431
12/23/2021,PURCHASED,SQ,40,164.315,-6602,-9119
15/12/22,SOLD,MDB,-60,218.28,13055,19419
2/6/2023,SOLD,SHOP,300,54,16149,23544
1/3/2022,SOLD,CFLT,100,78.1,7780,10826
1/10/2022,PURCHASED,NET,150,104.739,-15759,-22010
1/10/2022,PURCHASED,HOOD,300,15.07,-4542,-6344
1/12/2022,PURCHASED,HUBS,25,488,-12237,-16840
1/12/2022,PURCHASED,HUBS,25,485,-12162,-16736
1/25/2022,PURCHASED,SHOP,150,90,-13541,-18974
1/26/2022,PURCHASED,ESTC,150,80,-12037,-16814
7/9/2021,PURCHASED,PUBM,180,33,-5969,-7981
7/29/2021,PURCHASED,CFLT,150,38.5,-5804,-7845
6/15/2021,PURCHASED,OKTA,30,222,-6689,-8712
6/15/2021,PURCHASED,PUBM,180,34.4,-6222,-8103
6/23/2021,PURCHASED,CYBR,60,137,-8249,-10874
6/6/2023,SOLD,MDB,26,385,9979,14984
6/7/2023,PURCHASED,OKTA,145,72.69,-10573.8,-15865
3/8/2021,PURCHASED,ESTC,45,122.47,-5541,-7226
3/8/2021,PURCHASED,MDB,20,328.54,-6600,-8608
3/8/2021,PURCHASED,SHOP,50,119,-5980,-7800
3/9/2021,PURCHASED,OKTA,25,210,-5280,-6862
3/16/2022,PURCHASED,HUBS,25,395,-9905,-13660
3/22/2022,SOLD,NET,150,125,18691,24843
5/13/2021,PURCHASED,FROG,150,34.96,-5273,-6824
5/13/2021,PURCHASED,PUBM,150,35.4,-5341,-6911
5/20/2022,PURCHASED,NET,300,55.54,-16714,-23785
5/20/2022,PURCHASED,RBLX,500,31.6,-15849,-22555
5/20/2022,PURCHASED,SHOP,60,36.3,-21581,-31096
5/24/2023,SOLD,HUBS,30,495,14804,22649
11/9/2022,PURCHASED,NET,300,41,-12338,-19165
11/9/2022,PURCHASED,MDB,90,145,-13090,-20333
11/9/2022,PURCHASED,TWLO,300,43,-12934,-20110
10/6/2021,PURCHASED,NET,65,113,-7375,-10161
9/29/2021,PURCHASED,PAYO,800,9.5,-7630,-10617
9/29/2021,PURCHASED,LRN,200,35.87,-7204,-10024
