Date,Activity_Type,Symbol,Quantity,Price_USD,USD_Amount,AUD_Amount
04.8.21,PURCHASED,RSKD,350,26.84,-9423.95,-12773.03
13.8.21,PURCHASED,FSLY,150,42.3,-6374.95,-8645.17
12.8.21,PURCHASED,NVAX,15,238.0,-3590.0,-4894.0
08.8.23,SOLD,FSLY,480,21.0,10049.0,15435.0
06.12.21,PURCHASED,RSKD,1000,9.02,-9049.0,-12847.0
07.12.21,PURCHASED,ESTC,100,113.7599,-11411.0,-16040.0
07.12.21,PURCHASED,CFLT,100,69.9,-7020.0,-9868.0
07.12.21,PURCHASED,MDB,16,446.91,-7180.0,-10093.0
08.12.21,PURCHASED,NET,78,147.38,-11531.0,-16102.0
20.12.21,PURCHASED,HOOD,200,19.2,-3859.0,-5431.0
23.12.21,PURCHASED,SQ,40,164.315,-6602.0,-9119.0
15.12.22,SOLD,MDB,-60,218.28,13055.0,19419.0
06.2.23,SOLD,SHOP,300,54.0,16149.0,23544.0
03.1.22,SOLD,CFLT,100,78.1,7780.0,10826.0
10.1.22,PURCHASED,NET,150,104.739,-15759.0,-22010.0
10.1.22,PURCHASED,HOOD,300,15.07,-4542.0,-6344.0
12.1.22,PURCHASED,HUBS,25,488.0,-12237.0,-16840.0
12.1.22,PURCHASED,HUBS,25,485.0,-12162.0,-16736.0
25.1.22,PURCHASED,SHOP,150,90.0,-13541.0,-18974.0
26.1.22,PURCHASED,ESTC,150,80.0,-12037.0,-16814.0
09.7.21,PURCHASED,PUBM,180,33.0,-5969.0,-7981.0
29.7.21,PURCHASED,CFLT,150,38.5,-5804.0,-7845.0
15.6.21,PURCHASED,OKTA,30,222.0,-6689.0,-8712.0
15.6.21,PURCHASED,PUBM,180,34.4,-6222.0,-8103.0
23.6.21,PURCHASED,CYBR,60,137.0,-8249.0,-10874.0
06.6.23,SOLD,MDB,26,385.0,9979.0,14984.0
07.6.23,PURCHASED,OKTA,145,72.69,-10573.8,-15865.0
08.3.21,PURCHASED,ESTC,45,122.47,-5541.0,-7226.0
08.3.21,PURCHASED,MDB,20,328.54,-6600.0,-8608.0
08.3.21,PURCHASED,SHOP,50,119.0,-5980.0,-7800.0
09.3.21,PURCHASED,OKTA,25,210.0,-5280.0,-6862.0
16.3.22,PURCHASED,HUBS,25,395.0,-9905.0,-13660.0
22.3.22,SOLD,NET,150,125.0,18691.0,24843.0
13.5.21,PURCHASED,FROG,150,34.96,-5273.0,-6824.0
13.5.21,PURCHASED,PUBM,150,35.4,-5341.0,-6911.0
20.5.22,PURCHASED,NET,300,55.54,-16714.0,-23785.0
20.5.22,PURCHASED,RBLX,500,31.6,-15849.0,-22555.0
20.5.22,PURCHASED,SHOP,60,36.3,-21581.0,-31096.0
24.5.23,SOLD,HUBS,30,495.0,14804.0,22649.0
09.11.22,PURCHASED,NET,300,41.0,-12338.0,-19165.0
09.11.22,PURCHASED,MDB,90,145.0,-13090.0,-20333.0
09.11.22,PURCHASED,TWLO,300,43.0,-12934.0,-20110.0
06.10.21,PURCHASED,NET,65,113.0,-7375.0,-10161.0
29.9.21,PURCHASED,PAYO,800,9.5,-7630.0,-10617.0
29.9.21,PURCHASED,LRN,200,35.87,-7204.0,-10024.0
