Date,Activity_Type,Symbol,Quantity,Price_USD,USD_Amount,AUD_Amount
04.8.21,PURCHASED,RSKD,350,26.84,-9423.95,-12773.03
13.8.21,PURCHASED,FSLY,150,42.3,-6374.95,-8645.17
12.8.21,PURCHASED,NVAX,15,238,-3590,-4894
08.8.23,SOLD,FSLY,480,21,10049,15435
06.12.21,PURCHASED,RSKD,1000,9.02,-9049,-12847
07.12.21,PURCHASED,ESTC,100,113.7599,-11411,-16040
07.12.21,PURCHASED,CFLT,100,69.9,-7020,-9868
07.12.21,PURCHASED,MDB,16,446.91,-7180,-10093
08.12.21,PURCHASED,NET,78,147.38,-11531,-16102
20.12.21,PURCHASED,HOOD,200,19.2,-3859,-5431
23.12.21,PURCHASED,SQ,40,164.315,-6602,-9119
15.12.22,SOLD,MDB,-60,218.28,13055,19419
06.2.23,SOLD,SHOP,300,54,16149,23544
03.1.22,SOLD,CFLT,100,78.1,7780,10826
10.1.22,PURCHASED,NET,150,104.739,-15759,-22010
10.1.22,PURCHASED,HOOD,300,15.07,-4542,-6344
12.1.22,PURCHASED,HUBS,25,488,-12237,-16840
12.1.22,PURCHASED,HUBS,25,485,-12162,-16736
25.1.22,PURCHASED,SHOP,150,90,-13541,-18974
26.1.22,PURCHASED,ESTC,150,80,-12037,-16814
09.7.21,PURCHASED,PUBM,180,33,-5969,-7981
29.7.21,PURCHASED,CFLT,150,38.5,-5804,-7845
15.6.21,PURCHASED,OKTA,30,222,-6689,-8712
15.6.21,PURCHASED,PUBM,180,34.4,-6222,-8103
23.6.21,PURCHASED,CYBR,60,137,-8249,-10874
06.6.23,SOLD,MDB,26,385,9979,14984
07.6.23,PURCHASED,OKTA,145,72.69,-10573.8,-15865
08.3.21,PURCHASED,ESTC,45,122.47,-5541,-7226
08.3.21,PURCHASED,MDB,20,328.54,-6600,-8608
08.3.21,PURCHASED,SHOP,50,119,-5980,-7800
09.3.21,PURCHASED,OKTA,25,210,-5280,-6862
16.3.22,PURCHASED,HUBS,25,395,-9905,-13660
22.3.22,SOLD,NET,150,125,18691,24843
13.5.21,PURCHASED,FROG,150,34.96,-5273,-6824
13.5.21,PURCHASED,PUBM,150,35.4,-5341,-6911
20.5.22,PURCHASED,NET,300,55.54,-16714,-23785
20.5.22,PURCHASED,RBLX,500,31.6,-15849,-22555
20.5.22,PURCHASED,SHOP,600,36.3,-21581,-31096
24.5.23,SOLD,HUBS,30,495,14804,22649
09.11.22,PURCHASED,NET,300,41,-12338,-19165
09.11.22,PURCHASED,MDB,90,145,-13090,-20333
09.11.22,PURCHASED,TWLO,300,43,-12934,-20110
06.10.21,PURCHASED,NET,65,113,-7375,-10161
29.9.21,PURCHASED,PAYO,800,9.5,-7630,-10617
29.9.21,PURCHASED,LRN,200,35.87,-7204,-10024
12.2.21,PURCHASED,FRSH,180,31.955,-5782,-8242
12.8.21,PURCHASED,FRSH,300,26.455,-7967,-11125
01.10.22,PURCHASED,FRSH,300,21.565,-6500,-9077
29.07.21,PURCHASED,TAL,500,5,-2500,-3350
03.08.21,PURCHASED,PD,150,38.26,-5770,-7525
11.17.21,PURCHASED,FRSH,200,37.3,-7490,-10297
