F11.1  EXCHANGE RATES,
Title,A$1=USD
Description,AUD/USD Exchange Rate; see notes for further detail.
Frequency,Daily
Type,Indicative
Units,USD
,
,
Source,WM/Reuters
Publication date,04-Jun-2025
Series ID,FXRUSD
03-Jan-2023,0.6828
04-Jan-2023,0.6809
05-Jan-2023,0.6815
06-Jan-2023,0.6769
09-Jan-2023,0.6929
10-Jan-2023,0.6904
11-Jan-2023,0.6911
12-Jan-2023,0.6923
13-Jan-2023,0.6955
16-Jan-2023,0.6988
17-Jan-2023,0.6973
18-Jan-2023,0.6994
19-Jan-2023,0.6904
20-Jan-2023,0.6918
23-Jan-2023,0.6983
24-Jan-2023,0.7033
25-Jan-2023,0.7102
27-Jan-2023,0.7107
30-Jan-2023,0.7092
31-Jan-2023,0.7037
01-Feb-2023,0.7068
02-Feb-2023,0.715
03-Feb-2023,0.7062
06-Feb-2023,0.6943
07-Feb-2023,0.6931
08-Feb-2023,0.6964
09-Feb-2023,0.6954
10-Feb-2023,0.6923
13-Feb-2023,0.6908
14-Feb-2023,0.6975
15-Feb-2023,0.6937
16-Feb-2023,0.6922
17-Feb-2023,0.6843
20-Feb-2023,0.6892
21-Feb-2023,0.6896
22-Feb-2023,0.6839
23-Feb-2023,0.683
24-Feb-2023,0.6814
27-Feb-2023,0.6711
28-Feb-2023,0.673
01-Mar-2023,0.675
02-Mar-2023,0.6746
03-Mar-2023,0.6744
06-Mar-2023,0.6756
07-Mar-2023,0.6713
08-Mar-2023,0.6591
09-Mar-2023,0.661
10-Mar-2023,0.6599
13-Mar-2023,0.6665
14-Mar-2023,0.6649
15-Mar-2023,0.6692
16-Mar-2023,0.6637
17-Mar-2023,0.6714
20-Mar-2023,0.6683
21-Mar-2023,0.6691
22-Mar-2023,0.6695
23-Mar-2023,0.6741
24-Mar-2023,0.6687
27-Mar-2023,0.665
28-Mar-2023,0.6689
29-Mar-2023,0.6703
30-Mar-2023,0.6687
31-Mar-2023,0.6712
03-Apr-2023,0.6663
04-Apr-2023,0.6765
05-Apr-2023,0.6736
06-Apr-2023,0.6694
11-Apr-2023,0.6677
12-Apr-2023,0.6671
13-Apr-2023,0.6701
14-Apr-2023,0.6783
17-Apr-2023,0.6715
18-Apr-2023,0.6733
19-Apr-2023,0.6727
20-Apr-2023,0.6715
21-Apr-2023,0.6708
24-Apr-2023,0.6676
26-Apr-2023,0.6609
27-Apr-2023,0.6627
28-Apr-2023,0.661
01-May-2023,0.6639
02-May-2023,0.6705
03-May-2023,0.6664
04-May-2023,0.669
05-May-2023,0.6735
08-May-2023,0.6775
09-May-2023,0.6778
10-May-2023,0.6764
11-May-2023,0.6775
12-May-2023,0.669
15-May-2023,0.6682
16-May-2023,0.6674
17-May-2023,0.6639
18-May-2023,0.6647
19-May-2023,0.6634
22-May-2023,0.664
23-May-2023,0.665
24-May-2023,0.6598
25-May-2023,0.6527
26-May-2023,0.6515
29-May-2023,0.6547
30-May-2023,0.6509
31-May-2023,0.6495
01-Jun-2023,0.6511
02-Jun-2023,0.6612
05-Jun-2023,0.6607
06-Jun-2023,0.6661
07-Jun-2023,0.6678
08-Jun-2023,0.6662
09-Jun-2023,0.6708
13-Jun-2023,0.6761
14-Jun-2023,0.6767
15-Jun-2023,0.6821
16-Jun-2023,0.6888
19-Jun-2023,0.6865
20-Jun-2023,0.6803
21-Jun-2023,0.6783
22-Jun-2023,0.6765
23-Jun-2023,0.6697
26-Jun-2023,0.6679
27-Jun-2023,0.6712
28-Jun-2023,0.6646
29-Jun-2023,0.6614
30-Jun-2023,0.663
03-Jul-2023,0.6664
04-Jul-2023,0.6653
